x,y,z,vx,vy,vz
6.383826027878830E-03,2.725647594289966E-01,1.444990253752345E-01,-3.437382718770442E-02,1.087859065804843E-03,2.261564357222589E-03
6.359972852610249E-03,2.725655128457739E-01,1.445005990916531E-01,-3.432469439308869E-02,1.082010616175660E-03,2.270782688722152E-03
6.336152805467133E-03,2.725662620462502E-01,1.445021796332956E-01,-3.427834117674272E-02,1.075737942126955E-03,2.281161776895921E-03
6.312364011496748E-03,2.725670067641566E-01,1.445037677296852E-01,-3.423461117774432E-02,1.069119194585421E-03,2.292490413435622E-03
6.288604703839830E-03,2.725677467834172E-01,1.445053639746396E-01,-3.419334987622353E-02,1.062221242862910E-03,2.304587726256294E-03
6.264873221577530E-03,2.725684819308428E-01,1.445069688459220E-01,-3.415440692654890E-02,1.055101145191181E-03,2.317299244585824E-03
6.241168006239179E-03,2.725692120697963E-01,1.445085827222962E-01,-3.411763772712642E-02,1.047807476131573E-03,2.330493342354803E-03
6.217487597430692E-03,2.725699370947231E-01,1.445102058982574E-01,-3.408290442268001E-02,1.040381496535805E-03,2.344058101275751E-03
6.193830627927275E-03,2.725706569264449E-01,1.445118385967195E-01,-3.405007647161710E-02,1.032858184526281E-03,2.357898543730959E-03
6.170195818489244E-03,2.725713715081209E-01,1.445134809799085E-01,-3.401903090159696E-02,1.025267130859936E-03,2.371934228192541E-03
6.146581972584602E-03,2.725720808017870E-01,1.445151331587031E-01,-3.398965233607066E-02,1.017633315083110E-03,2.386097163258926E-03
6.122987971154760E-03,2.725727847853966E-01,1.445167952006270E-01,-3.396183285903551E-02,1.009977775371580E-03,2.400330006167865E-03
6.099412767513669E-03,2.725734834502917E-01,1.445184671366846E-01,-3.393547177368710E-02,1.002318182851809E-03,2.414584517511556E-03
6.075855382443748E-03,2.725741767990437E-01,1.445201489671993E-01,-3.391047528400812E-02,9.946693361656553E-04,2.428820229378108E-03
6.052314899527735E-03,2.725748648436117E-01,1.445218406667995E-01,-3.388675613928792E-02,9.870435827528511E-04,2.443003310605584E-03
6.028790460737696E-03,2.725755476037713E-01,1.445235421886737E-01,-3.386423325089536E-02,9.794511807184001E-04,2.457105591181344E-03
6.005281262293164E-03,2.725762251057755E-01,1.445252534681996E-01,-3.384283130478452E-02,9.719006070500965E-04,2.471103731034849E-03
5.981786550787690E-03,2.725768973812135E-01,1.445269744260411E-01,-3.382248037478925E-02,9.643988213813644E-04,2.484978508179703E-03
5.958305619581017E-03,2.725775644660386E-01,1.445287049707871E-01,-3.380311554767583E-02,9.569514908507703E-04,2.498714211611107E-03
5.934837805445968E-03,2.725782263997403E-01,1.445304450012018E-01,-3.378467656255609E-02,9.495631822368413E-04,2.512298122222368E-03
5.911382485460435E-03,2.725788832246396E-01,1.445321944081413E-01,-3.376710746760763E-02,9.422375261765765E-04,2.525720068831511E-03
5.887939074129607E-03,2.725795349852899E-01,1.445339530761857E-01,-3.375035629873924E-02,9.349773570305687E-04,2.538972049979441E-03
5.864507020725484E-03,2.725801817279673E-01,1.445357208850282E-01,-3.373437477543297E-02,9.277848329462290E-04,2.552047908846381E-03
5.841085806829042E-03,2.725808235002382E-01,1.445374977106559E-01,-3.371911802080298E-02,9.206615379024918E-04,2.564943057037444E-03
5.817674944060550E-03,2.725814603505921E-01,1.445392834263525E-01,-3.370454429876741E-02,9.136085694094865E-04,2.577654236833683E-03
5.794273971985199E-03,2.725820923281313E-01,1.445410779035491E-01,-3.369061477245895E-02,9.066266132787589E-04,2.590179318484383E-03
5.770882456179648E-03,2.725827194823080E-01,1.445428810125446E-01,-3.367729328053203E-02,8.997160076796270E-04,2.602517126384592E-03
5.747499986448296E-03,2.725833418627027E-01,1.445446926231142E-01,-3.366454613054960E-02,8.928767980118403E-04,2.614667290034233E-03
5.724126175176414E-03,2.725839595188381E-01,1.445465126050220E-01,-3.365234190957690E-02,8.861087837969957E-04,2.626630116643352E-03
5.700760655810169E-03,2.725845725000226E-01,1.445483408284524E-01,-3.364065130895938E-02,8.794115589357590E-04,2.638406481591017E-03
5.677403081452446E-03,2.725851808552204E-01,1.445501771643705E-01,-3.362944696457443E-02,8.727845460761747E-04,2.649997734938386E-03
5.654053123565811E-03,2.725857846329430E-01,1.445520214848226E-01,-3.361870330827391E-02,8.662270261864021E-04,2.661405620757230E-03
5.630710470773489E-03,2.725863838811602E-01,1.445538736631848E-01,-3.360839643340870E-02,8.597381637443920E-04,2.672632208519759E-03
5.607374827750361E-03,2.725869786472265E-01,1.445557335743676E-01,-3.359850396971174E-02,8.533170284083052E-04,2.683679833868106E-03
5.584045914196990E-03,2.725875689778228E-01,1.445576010949827E-01,-3.358900496935999E-02,8.469626135080075E-04,2.694551048101695E-03
5.560723463889304E-03,2.725881549189083E-01,1.445594761034765E-01,-3.357987980201357E-02,8.406738518782242E-04,2.705248574845962E-03
5.537407223798473E-03,2.725887365156842E-01,1.445613584802366E-01,-3.357111005811584E-02,8.344496293988508E-04,2.715775272918359E-03
5.514096953274621E-03,2.725893138125645E-01,1.445632481076744E-01,-3.356267846080151E-02,8.282887965330839E-04,2.726134104717907E-03
5.490792423289751E-03,2.725898868531554E-01,1.445651448702867E-01,-3.355456878374440E-02,8.221901781918528E-04,2.736328109036124E-03
5.467493415734745E-03,2.725904556802409E-01,1.445670486547011E-01,-3.354676577693503E-02,8.161525821070129E-04,2.746360378077226E-03
5.444199722766378E-03,2.725910203357726E-01,1.445689593497050E-01,-3.353925509705801E-02,8.101748059599296E-04,2.756234037713211E-03
5.420911146200168E-03,2.725915808608657E-01,1.445708768462639E-01,-3.353202324458992E-02,8.042556434145801E-04,2.765952230867176E-03
5.397627496945505E-03,2.725921372957978E-01,1.445728010375275E-01,-3.352505750490977E-02,7.983938892157844E-04,2.775518103330953E-03
5.374348595735454E-03,2.725926896788969E-01,1.445747318206308E-01,-3.351834596203537E-02,7.925883587629499E-04,2.784934751278671E-03
5.351074267568647E-03,2.725932380510139E-01,1.445766690894429E-01,-3.351187717612290E-02,7.868378302551683E-04,2.794205374386282E-03
5.327804348925412E-03,2.725937824488127E-01,1.445786127454552E-01,-3.350564055122166E-02,7.811411403575362E-04,2.803333021402414E-03
5.304538682177767E-03,2.725943229092688E-01,1.445805626904615E-01,-3.349962601401872E-02,7.754971245714631E-04,2.812320748067686E-03
5.281277116495074E-03,2.725948594685543E-01,1.445825188283635E-01,-3.349382404508058E-02,7.699046348762087E-04,2.821171569905339E-03
5.258019507472274E-03,2.725953921620508E-01,1.445844810651415E-01,-3.348822564291167E-02,7.643625413930878E-04,2.829888457519265E-03
5.234765716782301E-03,2.725959210243617E-01,1.445864493088218E-01,-3.348282229007942E-02,7.588697336931094E-04,2.838474332780698E-03
5.211515611850943E-03,2.725964460893268E-01,1.445884234694414E-01,-3.347760592255841E-02,7.534251218565878E-04,2.846932065805904E-03
5.188269065552365E-03,2.725969673900362E-01,1.445904034590115E-01,-3.347256890061627E-02,7.480276372520130E-04,2.855264472597437E-03
5.165025955923928E-03,2.725974849588459E-01,1.445923891914793E-01,-3.346770398246355E-02,7.426762331446111E-04,2.863474313259282E-03
5.141786165898724E-03,2.725979988273926E-01,1.445943805826884E-01,-3.346300429929311E-02,7.373698850948768E-04,2.871564290709323E-03
5.118549583054803E-03,2.725985090266097E-01,1.445963775503391E-01,-3.345846333241187E-02,7.321075912257350E-04,2.879537049808272E-03
5.095316099379623E-03,2.725990155867429E-01,1.445983800139476E-01,-3.345407489189390E-02,7.268883723533082E-04,2.887395176850572E-03
