x,y,z,vx,vy,vz
6.383826027878831E-03,2.725647594289967E-01,1.444990253752345E-01,-3.437382718770443E-02,1.087859065804843E-03,2.261564357222589E-03
6.383826027878831E-03,2.725647594289967E-01,1.444990253752345E-01,-3.437382718770443E-02,1.087859065804843E-03,2.261564357222589E-03
6.359972559792307E-03,2.725655128782313E-01,1.445005990420914E-01,-3.432471875160108E-02,1.082006764947219E-03,2.270793185841129E-03
6.336152219101408E-03,2.725662621112272E-01,1.445021795339641E-01,-3.427838957297237E-02,1.075731036785948E-03,2.281180564794854E-03
6.312363130233424E-03,2.725670068617895E-01,1.445037675801431E-01,-3.423468312033976E-02,1.069109953312168E-03,2.292515505461956E-03
6.288603525822460E-03,2.725677469139274E-01,1.445053637741858E-01,-3.419344474709042E-02,1.062210309182931E-03,2.304617343141757E-03
6.264871744542371E-03,2.725684820945442E-01,1.445069685935821E-01,-3.415452401651313E-02,1.055089093124245E-03,2.317331799877680E-03
6.241166227601334E-03,2.725692122670975E-01,1.445085824168179E-01,-3.411777626462900E-02,1.047794815742686E-03,2.330527426834673E-03
6.217485514358215E-03,2.725699373261278E-01,1.445102055381148E-01,-3.408306359664144E-02,1.040368679577868E-03,2.344092467196367E-03
6.193828237404414E-03,2.725706571925493E-01,1.445118381801215E-01,-3.405025544945527E-02,1.032845609956329E-03,2.357932089454240E-03
6.170193117370093E-03,2.725713718096101E-01,1.445134805048111E-01,-3.401922884327236E-02,1.025255150097456E-03,2.371965983577491E-03
6.146578957638303E-03,2.725720811394306E-01,1.445151326228236E-01,-3.398986840489567E-02,1.017622236929917E-03,2.386126276011273E-03
6.122984639103369E-03,2.725727851600434E-01,1.445167946014602E-01,-3.396206622986720E-02,1.009967870552126E-03,2.400355729257306E-03
6.099409115063686E-03,2.725734838628641E-01,1.445184664715188E-01,-3.393572163902198E-02,1.002309688162968E-03,2.414606197681114E-03
6.075851406312179E-03,2.725741772505324E-01,1.445201482331330E-01,-3.391074085839993E-02,9.946624582367717E-04,2.428837296739578E-03
6.052310596463513E-03,2.725748653350698E-01,1.445218398607574E-01,-3.388703666243885E-02,9.870385014358026E-04,2.443015269263332E-03
6.028785827539110E-03,2.725755481363089E-01,1.445235413074224E-01,-3.386452798970066E-02,9.794480521271039E-04,2.457112010828948E-03
6.005276295821923E-03,2.725762256805548E-01,1.445252525083627E-01,-3.384313955455971E-02,9.718995662776191E-04,2.471104239445166E-03
5.981781247980132E-03,2.725768979994436E-01,1.445269733841131E-01,-3.382280145986348E-02,9.643999849210563E-04,2.484972784514455E-03
5.958299977456907E-03,2.725775651289708E-01,1.445287038431467E-01,-3.380344882149864E-02,9.569549587497686E-04,2.498701980470922E-03
5.934831821115269E-03,2.725782271086638E-01,1.445304437841244E-01,-3.378502140743538E-02,9.495690400081475E-04,2.512279148364400E-03
5.911376156128381E-03,2.725788839808775E-01,1.445321930978103E-01,-3.376746329417248E-02,9.422458464943839E-04,2.525694152486220E-03
5.887932397100358E-03,2.725795357901952E-01,1.445339516687033E-01,-3.375072254520159E-02,9.349882012330431E-04,2.538939022699340E-03
5.864499993404590E-03,2.725801825829197E-01,1.445357193764250E-01,-3.373475090670721E-02,9.277982523654619E-04,2.552007629832315E-03
5.841078426724928E-03,2.725808244066406E-01,1.445374960968999E-01,-3.371950352752872E-02,9.206775750424811E-04,2.564895409884525E-03
5.817667208785189E-03,2.725814613098679E-01,1.445392817033573E-01,-3.370493869627197E-02,9.136272589881628E-04,2.577599126652752E-03
5.794265879254114E-03,2.725820933417216E-01,1.445410760671817E-01,-3.369101759968689E-02,9.066479831503339E-04,2.590116669353918E-03
5.770874003811373E-03,2.725827205516691E-01,1.445428790586319E-01,-3.367770409896328E-02,8.997400796508501E-04,2.602446879095567E-03
5.747491172363386E-03,2.725833429893040E-01,1.445446905474492E-01,-3.366496452312245E-02,8.929035885643213E-04,2.614589400094366E-03
5.724116997396111E-03,2.725839607041597E-01,1.445465104033699E-01,-3.365276747962783E-02,8.861383047268248E-04,2.626544552509692E-03
5.700751112454768E-03,2.725845737455539E-01,1.445483384965552E-01,-3.364108367918888E-02,8.794438179196884E-04,2.638313223105340E-03
5.677393170739458E-03,2.725851821624581E-01,1.445501746979522E-01,-3.362988577604480E-02,8.728195471733672E-04,2.649896771940467E-03
5.654042843807939E-03,2.725857860033897E-01,1.445520188795929E-01,-3.361914821944415E-02,8.662647702826355E-04,2.661296951857095E-03
5.630699820376487E-03,2.725863853163229E-01,1.445538709148434E-01,-3.360884711920841E-02,8.597786489460533E-04,2.672515840008535E-03
5.607363805210798E-03,2.725869801486154E-01,1.445557306786075E-01,-3.359896012065644E-02,8.533602503914651E-04,2.683555778752984E-03
5.584034518099955E-03,2.725875705469503E-01,1.445575980474930E-01,-3.358946629070812E-02,8.470085658280693E-04,2.694419325249770E-03
5.560711692906071E-03,2.725881565572877E-01,1.445594728999455E-01,-3.358034601296525E-02,8.407225262445897E-04,2.705109208224712E-03
5.537395076684152E-03,2.725887382248289E-01,1.445613551163545E-01,-3.357158089105300E-02,8.345010159185340E-04,2.715628290921935E-03
5.514084428865812E-03,2.725893155939873E-01,1.445632445791351E-01,-3.356315366056808E-02,8.283428839270462E-04,2.725979539568749E-03
5.490779520502206E-03,2.725898887083677E-01,1.445651411727902E-01,-3.355504810696590E-02,8.222469539868274E-04,2.736165996254371E-03
5.467480133561064E-03,2.725904576107517E-01,1.445670447839551E-01,-3.354724899137549E-02,8.162120328059721E-04,2.746190756009082E-03
5.444186060273735E-03,2.725910223430884E-01,1.445689553014267E-01,-3.353974198101324E-02,8.102369171932363E-04,2.756056947112768E-03
5.420897102528078E-03,2.725915829464897E-01,1.445708726161813E-01,-3.353251358631507E-02,8.043204000743171E-04,2.765767714524675E-03
5.397613071303643E-03,2.725921394612295E-01,1.445727966213806E-01,-3.352555110207982E-02,7.984612755748897E-04,2.775326205743102E-03
5.374333787401338E-03,2.725926919256319E-01,1.445747272141719E-01,-3.351884262118528E-02,7.926583585763684E-04,2.784735518368940E-03
5.351059075886129E-03,2.725932403805425E-01,1.445766642884408E-01,-3.351237671232503E-02,7.869104268674976E-04,2.793998853206138E-03
5.327788773302074E-03,2.725937848626208E-01,1.445786077456926E-01,-3.350614278747603E-02,7.812163167725669E-04,2.803119259939608E-03
5.304522722083160E-03,2.725943254088371E-01,1.445805574877370E-01,-3.350013078088186E-02,7.755748635305060E-04,2.812099795029127E-03
5.281260771458818E-03,2.725948620553582E-01,1.445825134184924E-01,-3.349433118026564E-02,7.699849189234547E-04,2.820943474536133E-03
5.258002777082217E-03,2.725953948375599E-01,1.445844754439562E-01,-3.348873499091156E-02,7.644453529335407E-04,2.829653269442271E-03
5.234748600682736E-03,2.725959237900398E-01,1.445864434721722E-01,-3.348333370181219E-02,7.589550550437536E-04,2.838232101854854E-03
5.211498109740889E-03,2.725964489466318E-01,1.445884174131956E-01,-3.347811925503306E-02,7.535129352916878E-04,2.846682842000742E-03
5.188251177183902E-03,2.725969703404198E-01,1.445903971790561E-01,-3.347308401661804E-02,7.481179250430164E-04,2.855008305882587E-03
5.165007681100592E-03,2.725974880037536E-01,1.445923826837194E-01,-3.346822075025730E-02,7.427689775953806E-04,2.863211253506864E-03
5.141767504473962E-03,2.725980019682635E-01,1.445943738430481E-01,-3.346352259234390E-02,7.374650685726411E-04,2.871294387608223E-03
5.118530534930474E-03,2.725985122648766E-01,1.445963705747617E-01,-3.345898302912148E-02,7.322051961882825E-04,2.879260352788810E-03
5.095296664504567E-03,2.725990189238319E-01,1.445983727983955E-01,-3.345459587535241E-02,7.269883813728058E-04,2.887111735018516E-03
5.072065789417556E-03,2.725995219746967E-01,1.446003804352605E-01,-3.345035525439485E-02,7.218136677842731E-04,2.894851061445195E-03
5.048837809869758E-03,2.726000214463819E-01,1.446023934084021E-01,-3.344625557992462E-02,7.166801217480616E-04,2.902480800450441E-03
5.025612629844995E-03,2.726005173671578E-01,1.446044116425593E-01,-3.344229153852702E-02,7.115868320838186E-04,2.910003361947874E-03
5.002390156926651E-03,2.726010097646698E-01,1.446064350641247E-01,-3.343845807391438E-02,7.065329099073752E-04,2.917421097837090E-03
4.979170302124383E-03,2.726014986659537E-01,1.446084636011041E-01,-3.343475037185106E-02,7.015174883434342E-04,2.924736302637754E-03
4.955952979710932E-03,2.726019840974508E-01,1.446104971830769E-01,-3.343116384632651E-02,6.965397222171186E-04,2.931951214233064E-03
4.932738107068191E-03,2.726024660850230E-01,1.446125357411572E-01,-3.342769412649644E-02,6.915987876924730E-04,2.939068014732523E-03
4.909525604542065E-03,2.726029446539674E-01,1.446145792079553E-01,-3.342433704459764E-02,6.866938818939818E-04,2.946088831409440E-03
4.886315395305405E-03,2.726034198290306E-01,1.446166275175401E-01,-3.342108862460591E-02,6.818242224991735E-04,2.953015737712222E-03
4.863107405228629E-03,2.726038916344230E-01,1.446186806054017E-01,-3.341794507157037E-02,6.769890473059695E-04,2.959850754336746E-03
4.839901562757413E-03,2.726043600938326E-01,1.446207384084157E-01,-3.341490276180283E-02,6.721876138073603E-04,2.966595850320458E-03
4.816697798797084E-03,2.726048252304386E-01,1.446228008648073E-01,-3.341195823343309E-02,6.674191987233449E-04,2.973252944199376E-03
4.793496046603254E-03,2.726052870669242E-01,1.446248679141170E-01,-3.340910817784925E-02,6.626830975642565E-04,2.979823905149604E-03
4.770296241678292E-03,2.726057456254901E-01,1.446269394971663E-01,-3.340634943143236E-02,6.579786241581362E-04,2.986310554174576E-03
4.747098321673321E-03,2.726062009278663E-01,1.446290155560249E-01,-3.340367896795001E-02,6.533051101971887E-04,2.992714665278854E-03
4.723902226295316E-03,2.726066529953253E-01,1.446310960339785E-01,-3.340109389137016E-02,6.486619047784432E-04,2.999037966649675E-03
4.700707897219096E-03,2.726071018486931E-01,1.446331808754973E-01,-3.339859142907968E-02,6.440483739422686E-04,3.005282141839520E-03
4.677515278003801E-03,2.726075475083614E-01,1.446352700262055E-01,-3.339616892558844E-02,6.394639002262974E-04,3.011448830928915E-03
4.654324314013693E-03,2.726079899942986E-01,1.446373634328514E-01,-3.339382383651725E-02,6.349078822105080E-04,3.017539631692360E-03
4.631134952342921E-03,2.726084293260611E-01,1.446394610432785E-01,-3.339155372306957E-02,6.303797340887135E-04,3.023556100728708E-03
4.607947141744102E-03,2.726088655228035E-01,1.446415628063974E-01,-3.338935624665128E-02,6.258788852185442E-04,3.029499754604767E-03
4.584760832560436E-03,2.726092986032896E-01,1.446436686721580E-01,-3.338722916400335E-02,6.214047797122292E-04,3.035372070945220E-03
4.561575976661173E-03,2.726097285859019E-01,1.446457785915233E-01,-3.338517032244999E-02,6.169568760077908E-04,3.041174489531538E-03
4.538392527380251E-03,2.726101554886517E-01,1.446478925164434E-01,-3.338317765552089E-02,6.125346464665985E-04,3.046908413360517E-03
4.515210439457882E-03,2.726105793291889E-01,1.446500103998299E-01,-3.338124917878990E-02,6.081375769743429E-04,3.052575209686024E-03
4.492029668984979E-03,2.726110001248107E-01,1.446521321955320E-01,-3.337938298591833E-02,6.037651665460287E-04,3.058176211042818E-03
4.468850173350196E-03,2.726114178924708E-01,1.446542578583123E-01,-3.337757724500811E-02,5.994169269567896E-04,3.063712716229055E-03
4.445671911189502E-03,2.726118326487884E-01,1.446563873438241E-01,-3.337583019502237E-02,5.950923823571182E-04,3.069185991290857E-03
4.422494842338093E-03,2.726122444100564E-01,1.446585206085887E-01,-3.337414014256140E-02,5.907910689280026E-04,3.074597270450406E-03
4.399318927784556E-03,2.726126531922495E-01,1.446606576099735E-01,-3.337250545865542E-02,5.865125345148718E-04,3.079947757041619E-03
4.376144129627134E-03,2.726130590110327E-01,1.446627983061714E-01,-3.337092457587857E-02,5.822563383003624E-04,3.085238624390570E-03
4.352970411031988E-03,2.726134618817683E-01,1.446649426561796E-01,-3.336939598550016E-02,5.780220504629953E-04,3.090471016695967E-03
4.329797736458494E-03,2.726138618187137E-01,1.446670906207747E-01,-3.336791824859383E-02,5.738092577135490E-04,3.095646034241004E-03
4.306626070551236E-03,2.726142588382742E-01,1.446692421585045E-01,-3.336648993821843E-02,5.696175394579080E-04,3.100764797025366E-03
4.283455379722946E-03,2.726146529541351E-01,1.446713972316683E-01,-3.336510972056399E-02,5.654465029458874E-04,3.105828350901490E-03
4.260285631030456E-03,2.726150441805229E-01,1.446735558022884E-01,-3.336377629663394E-02,5.612957592299707E-04,3.110837731759083E-03
4.237116792416299E-03,2.726154325313974E-01,1.446757178330975E-01,-3.336248841420485E-02,5.571649288413068E-04,3.115793950350985E-03
4.213948832676912E-03,2.726158180204579E-01,1.446778832875219E-01,-3.336124486583850E-02,5.530536415215643E-04,3.120697993013503E-03
4.190781721432236E-03,2.726162006611499E-01,1.446800521296644E-01,-3.336004448690519E-02,5.489615359429571E-04,3.125550822384935E-03
4.167615429096606E-03,2.726165804666708E-01,1.446822243242884E-01,-3.335888615381260E-02,5.448882594607337E-04,3.130353378078665E-03
4.144449926850881E-03,2.726169574499762E-01,1.446843998368018E-01,-3.335776878221667E-02,5.408334678489133E-04,3.135106577359639E-03
4.121285186615751E-03,2.726173316237854E-01,1.446865786332422E-01,-3.335669132542059E-02,5.367968250672252E-04,3.139811315777632E-03
4.098121181026151E-03,2.726177030005874E-01,1.446887606802615E-01,-3.335565277277335E-02,5.327780030166742E-04,3.144468467799005E-03
4.074957883406751E-03,2.726180715926456E-01,1.446909459451117E-01,-3.335465214819553E-02,5.287766813143464E-04,3.149078887407722E-03
4.051795267748441E-03,2.726184374120039E-01,1.446931343956310E-01,-3.335368850876103E-02,5.247925470714984E-04,3.153643408691301E-03
4.028633308685792E-03,2.726188004704914E-01,1.446953260002301E-01,-3.335276094333238E-02,5.208252946749818E-04,3.158162846411870E-03
4.005471981475416E-03,2.726191607797271E-01,1.446975207278788E-01,-3.335186857130505E-02,5.168746255863758E-04,3.162637996549359E-03
3.982311261975204E-03,2.726195183511256E-01,1.446997185480934E-01,-3.335101054134461E-02,5.129402481306578E-04,3.167069636843086E-03
3.959151126624403E-03,2.726198731959010E-01,1.447019194309241E-01,-3.335018603025906E-02,5.090218773107220E-04,3.171458527298926E-03
3.935991552424460E-03,2.726202253250717E-01,1.447041233469428E-01,-3.334939424186058E-02,5.051192346114766E-04,3.175805410695253E-03
3.912832516920646E-03,2.726205747494650E-01,1.447063302672315E-01,-3.334863440592235E-02,5.012320478210661E-04,3.180111013063248E-03
